name,hr2,hr4,hr6,hr8,hr12,hr18,Day1,Day2,Day4,Day7,sym
A_55_P2056654,-0.104307641,0.094732147,0.142435165,0.093333009,0.253602074,-0.040176943,0.411724625,0.145258445,-0.103833233,0.767899412,000000000+
A_55_P2069217,0.152317858,0.03930352,0.011420855,0.276742285,-0.360069949,-0.454269571,-0.143204744,0.06444234,0.129737598,0.98272056,000000000+
A_55_P1996434,-0.0359022,0.156698914,-0.2664273,0.114643681,-0.088236662,-0.171267488,-0.249168078,-0.100013229,0.253034432,0.560408616,000000000+
A_55_P2063583,0.137880187,0.174690145,-0.069548714,0.338287738,-0.236995051,-0.191176337,-0.467522256,0.055273024,-0.125556093,0.557672068,000000000+
A_55_P2058757,0.161982334,-0.211818308,0.005563496,0.098579647,-0.144591619,0.109373172,-0.280053137,0.02879094,0.050754817,0.536795294,000000000+
A_51_P239984,-0.431722542,0.12604992,0.176751866,0.202457374,0.226268667,-0.083132316,0.497654921,-0.080226667,-0.02810431,0.888573213,000000000+
A_52_P286141,0.229268847,0.189544569,0.019655015,0.127189935,-0.224380401,-0.266451528,0.097417554,0.107754033,0.095038084,0.501612937,000000000+
A_55_P1970474,-0.107566527,0.147387029,-0.32043547,0.382072537,-0.358465769,0.016827873,0.126972414,-0.405344205,0.091311034,0.602295117,000000000+
A_51_P496540,0.163310279,0.075681189,0.156894494,0.118210447,-0.224690515,-0.48105189,-0.367577574,0.180783332,0.067921218,1.804476059,000000000+
A_51_P105887,0.240381617,-0.284034615,-0.200527065,0.016552745,-0.061568766,0.11939346,-0.493450023,0.004935113,-0.257875532,1.410073964,000000000+
A_66_P124806,0.101460048,0.040475386,0.254051525,0.381925637,0.085679722,0.123639743,0.148197746,-0.018620004,0.144697877,0.90266058,000000000+
A_55_P2140646,-0.343421967,0.297985819,0.271661282,-0.054432567,-0.305754085,0.194406213,-0.355072141,-0.403693425,0.315083783,0.673851947,000000000+
A_55_P1953693,0.22245866,-0.098843596,-0.156025242,-0.024191081,-0.038892091,-0.258666162,-0.21282496,0.053979274,-0.153612596,0.52763797,000000000+
A_55_P2148873,-0.278570887,0.132417649,0.201175252,-0.334093207,-0.387829547,-0.038430248,-0.279934625,-0.141513786,0.169424388,1.272368575,000000000+
A_55_P2163729,-0.235569229,0.070303905,-0.111264244,0.389075768,-0.039016606,0.241224396,0.450323778,-0.023963948,0.203161663,0.913865254,000000000+
A_51_P208870,-0.330653576,0.155974339,0.028975502,0.208093986,-0.017407203,-0.081465091,-0.261394655,-0.215798867,-0.098801561,0.552701733,000000000+
A_55_P2104572,0.244949109,-0.344839426,-0.378844282,-0.004948651,-0.249063262,0.199850891,-0.350083625,-0.187326486,0.3591455,1.619771473,000000000+
A_55_P2176345,0.203022282,-0.201217376,-0.149830268,-0.16896602,-0.009276971,0.157116184,0.175372982,-0.000365253,-0.121893929,0.996567883,000000000+
A_51_P383774,0.003625105,0.043825622,0.062603675,0.265610856,-0.175048802,-0.257873809,0.025756085,-0.07222333,0.072049043,0.987893801,000000000+
A_51_P205215,-0.448296519,0.109485235,0.148001217,0.375722324,0.022690943,0.446436796,-0.017210288,0.120249106,0.391584781,1.743885303,000000000+
A_51_P286737,-0.07431996,-0.059252652,-0.085606935,-0.021988811,0.09565946,-0.186369068,0.130205287,0.166070171,-0.277960547,2.540066256,000000000+
A_55_P2018941,-0.043505167,0.106639847,-0.210043819,-0.102293678,-0.240365506,-0.059232315,-0.068642819,0.165253047,0.217729477,0.540860848,000000000+
A_55_P2002567,0.436147213,-0.134873819,-0.196127924,0.05910107,0.020956727,-0.160323132,0.135570322,0.203091527,-0.17391556,0.514896797,000000000+
A_30_P01027571,0.154624183,0.317468749,-0.297234766,-0.004096806,-0.279852038,0.272313292,-0.324048109,-0.012786774,0.289546562,0.566675783,000000000+
A_55_P2063598,0.240665939,0.021914992,-0.114767429,0.037232684,0.089277999,0.168000011,-0.156095836,0.107432473,0.071340563,0.678060801,000000000+
A_55_P2128646,-0.34813951,0.10631238,-0.044786885,0.073588397,0.128201127,0.272792595,-0.036139926,0.075567481,0.023601952,1.102976834,000000000+
A_55_P2038337,0.263336113,-0.27427415,-0.34206427,0.064243061,-0.259549023,-0.459608783,0.432848515,0.307830273,0.051862861,0.515623431,000000000+
A_52_P624149,0.42263506,-0.148987275,0.027948561,-0.22380065,-0.154673135,0.158527693,-0.388760292,-0.062688977,-0.079879436,0.824316893,000000000+
A_55_P1995205,-0.059747285,0.301159682,0.124894083,0.215624868,0.298320545,-0.016411128,0.348348398,0.159705384,-0.139103329,0.834237699,000000000+
A_55_P1985945,-0.487439888,0.392873474,0.261023355,0.110571621,0.016240392,-0.158272466,-0.106425419,-0.108025923,0.331599869,0.563706235,000000000+
A_51_P464576,0.191142305,-0.112015643,-0.054925974,0.034548477,-0.063920201,-0.18741097,0.003680347,0.160099492,-0.001253026,0.664063835,000000000+
A_51_P115471,-0.049952522,0.047903281,0.019012289,-0.044659014,-0.215343881,-0.065495259,0.148542455,-0.075268395,-0.000468505,0.51158712,000000000+
A_55_P2034033,-0.14103499,0.296049997,-0.177169212,0.426110752,0.09668102,0.21164407,0.021733054,0.151488384,0.19086877,2.023859409,000000000+
A_55_P2182483,-0.019601493,-0.16598605,-0.23523545,0.36550456,-0.074483242,-0.438273819,0.235358199,0.198416487,0.23023087,0.622324997,000000000+
A_51_P105380,0.104529986,0.112997768,0.131698975,-0.044048086,-0.04329351,0.006771103,0.088578632,0.157800199,-0.191675947,1.941982115,000000000+
A_55_P2045549,-0.16671743,-0.011301866,-0.109096156,0.143150979,-0.069583581,-0.030268786,0.469794554,0.027591299,0.034785568,0.561774346,000000000+
A_66_P136899,0.087891655,-0.119020655,-0.126436531,0.169303269,-0.153683691,-0.28828975,-0.110722435,0.15159267,0.179948299,0.876067079,000000000+
A_51_P384091,0.287032975,-0.266413805,-0.448841111,-0.047168233,-0.394609261,-0.120034181,0.281986005,0.099011487,-0.183219142,0.967162348,000000000+
A_51_P469968,0.490611416,-0.179097566,-0.395040868,-0.157616953,-0.299352498,0.272862818,-0.301410975,-0.037481688,0.01384066,0.842955181,000000000+
A_55_P2049612,0.050450306,0.029041519,-0.253555031,0.083932937,-0.16771467,-0.105609839,0.156697404,-0.060936485,0.151233236,0.724308383,000000000+
A_52_P413502,0.009432361,-0.053644028,0.133750483,0.158377105,-0.176785967,-0.406247647,0.138832393,0.072875971,0.062800996,0.53585664,000000000+
A_51_P288618,0.185471569,0.39649935,0.487641314,0.006870436,-0.149304437,-0.013546332,-0.381614954,-0.170155635,0.207152183,0.576206138,000000000+
A_55_P1970612,0.080671964,0.249042715,-0.232608013,0.063801034,-0.232520604,-0.140089261,-0.136820978,-0.079765878,0.087235071,0.501143564,000000000+
A_55_P2058942,0.20703263,-0.169574433,-0.142897848,0.083126064,0.113014547,0.112512818,-0.09203077,-0.201961537,0.023697995,0.73091935,000000000+
A_55_P2085779,0.087883743,0.104313748,-0.42499472,0.052139072,-0.097828501,0.005081369,-0.110162072,0.049025924,-0.011595919,0.752009475,000000000+
A_51_P156934,0.215193714,-0.248613623,-0.225858019,-0.05847138,-0.031525993,0.094857472,0.011989729,-0.021175276,0.001972615,0.742667028,000000000+
A_51_P339444,0.068856473,-0.243525217,-0.365982694,-0.021311917,-0.062246212,-0.16735256,0.093263397,0.095081606,0.068264557,0.614750301,000000000+
